epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8422,0.65535,2.21056,0.8839,1,0.82485,0.93634,0.81541,0.5689,1.46079,0.79873,0.000330189,0.000330189,0.000330189
2,25.3014,0.63007,1.22233,0.85801,0.91026,0.92239,0.93523,0.81136,0.55522,0.66707,0.7974,0.000656953,0.000656953,0.000656953
3,34.9377,0.6339,1.02214,0.86479,0.99275,0.90909,0.94656,0.80308,0.59162,0.53915,0.81919,0.000977118,0.000977118,0.000977118
4,44.8302,0.64013,0.99195,0.90563,1,0.93464,0.93585,0.83837,0.49804,0.52376,0.78709,0.0009703,0.0009703,0.0009703
5,54.3796,0.60725,0.91024,0.86536,0.99869,0.93939,0.9356,0.83076,0.50128,0.44714,0.80753,0.0009604,0.0009604,0.0009604
6,64.951,0.56764,0.82065,0.856,1,0.93852,0.93567,0.81252,0.50653,0.5553,0.81481,0.0009505,0.0009505,0.0009505
7,74.7667,0.52531,0.78273,0.84459,0.99875,0.93939,0.94246,0.84193,0.49316,0.40177,0.80367,0.0009406,0.0009406,0.0009406
8,84.9432,0.55654,0.7224,0.86883,1,0.93765,0.93614,0.86135,0.44003,0.41336,0.81048,0.0009307,0.0009307,0.0009307
9,95.9752,0.54222,0.6855,0.85777,0.97856,0.93939,0.94723,0.84706,0.44072,0.4065,0.78726,0.0009208,0.0009208,0.0009208
10,107.288,0.48016,0.61396,0.83787,1,0.93431,0.93833,0.84917,0.46187,0.41431,0.82174,0.0009109,0.0009109,0.0009109
11,119.128,0.50936,0.60237,0.84329,1,0.93328,0.93839,0.83719,0.49504,0.41613,0.83075,0.000901,0.000901,0.000901
12,129.729,0.52097,0.58444,0.85146,0.96861,0.93518,0.93815,0.84555,0.48143,0.41017,0.81686,0.0008911,0.0008911,0.0008911
13,140.175,0.49008,0.54676,0.83579,1,0.90849,0.9366,0.83664,0.47298,0.39013,0.81825,0.0008812,0.0008812,0.0008812
14,150.669,0.50112,0.55302,0.83769,0.99806,0.93939,0.938,0.85775,0.44638,0.38319,0.79951,0.0008713,0.0008713,0.0008713
15,160.942,0.44991,0.50239,0.83459,0.99843,0.93939,0.94014,0.84556,0.43875,0.36489,0.8033,0.0008614,0.0008614,0.0008614
16,171.242,0.48292,0.50513,0.84635,0.99875,0.90909,0.93466,0.85553,0.43163,0.42822,0.80956,0.0008515,0.0008515,0.0008515
17,181.155,0.48221,0.4921,0.83399,0.99506,0.93939,0.93852,0.84523,0.47964,0.35341,0.83419,0.0008416,0.0008416,0.0008416
18,191.353,0.49623,0.48057,0.84499,1,0.89849,0.94288,0.86198,0.44873,0.40121,0.82819,0.0008317,0.0008317,0.0008317
19,201.348,0.45627,0.46005,0.83869,0.99532,0.93939,0.94533,0.85036,0.45791,0.3534,0.80988,0.0008218,0.0008218,0.0008218
20,211.785,0.47044,0.4433,0.83983,0.99888,0.93939,0.94193,0.86098,0.44753,0.35628,0.81325,0.0008119,0.0008119,0.0008119
21,221.847,0.47247,0.43723,0.83216,0.99626,0.93939,0.94246,0.87371,0.42815,0.3354,0.79714,0.000802,0.000802,0.000802
22,232.218,0.47693,0.4377,0.83989,0.99776,0.93939,0.94451,0.85448,0.43091,0.35617,0.78685,0.0007921,0.0007921,0.0007921
23,243.112,0.45306,0.41669,0.83472,1,0.93761,0.94585,0.86019,0.45243,0.34211,0.81811,0.0007822,0.0007822,0.0007822
24,257.778,0.46391,0.42434,0.83607,1,0.93596,0.94694,0.85782,0.42398,0.35194,0.81011,0.0007723,0.0007723,0.0007723
25,270.157,0.47292,0.41611,0.84067,1,0.93672,0.94826,0.88605,0.42635,0.33736,0.81152,0.0007624,0.0007624,0.0007624
26,283.278,0.45087,0.40258,0.84455,0.99991,0.93939,0.94694,0.88185,0.42064,0.3152,0.79828,0.0007525,0.0007525,0.0007525
27,295.762,0.45237,0.41019,0.83674,0.998,0.93939,0.94353,0.87481,0.42002,0.3159,0.79836,0.0007426,0.0007426,0.0007426
28,310.909,0.43108,0.39775,0.82182,0.99687,0.93939,0.9468,0.87034,0.42494,0.34699,0.8121,0.0007327,0.0007327,0.0007327
29,325.261,0.4491,0.38864,0.84274,1,0.90709,0.93666,0.86548,0.3906,0.38024,0.78495,0.0007228,0.0007228,0.0007228
30,336.3,0.40969,0.37989,0.81529,0.99809,0.90909,0.93793,0.85258,0.42687,0.36137,0.80137,0.0007129,0.0007129,0.0007129
31,345.926,0.43252,0.38558,0.83617,0.99726,0.90909,0.95111,0.88766,0.41589,0.34939,0.78857,0.000703,0.000703,0.000703
32,355.982,0.42796,0.38493,0.83459,1,0.9382,0.94952,0.88612,0.39194,0.31692,0.80471,0.0006931,0.0006931,0.0006931
33,365.932,0.41185,0.35417,0.82628,1,0.93735,0.95418,0.89548,0.4101,0.33766,0.79749,0.0006832,0.0006832,0.0006832
